state,city,total_orders,total_customers,total_order_items,total_revenue,total_freight,average_order_value,average_freight_per_order,average_delivery_days,late_orders,late_delivery_rate_percent
BA,pojuca,13,13,14,1481.09,339.69,113.93,26.13,16.29,0,0.0
CE,cruz,7,7,8,1480.58,291.97,211.51,41.71,22.55,1,14.29
GO,morrinhos,14,12,20,1479.79,324.93,105.7,23.21,16.83,0,0.0
PR,siqueira campos,9,9,10,1478.08,185.54,164.23,20.62,10.26,0,0.0
GO,quirinopolis,14,14,16,1475.95,313.85,105.42,22.42,19.84,2,14.29
MG,piranguinho,9,8,11,1475.65,214.2,163.96,23.8,16.94,0,0.0
SC,garuva,5,5,5,1467.38,180.28,293.48,36.06,11.03,0,0.0
RJ,aperibe,12,12,15,1464.94,370.97,122.08,30.91,13.73,2,16.67
RS,chapada,4,4,4,1463.19,82.14,365.8,20.54,24.18,1,25.0
PR,andira,11,9,14,1462.18,226.41,132.93,20.58,12.29,0,0.0
RS,dom pedrito,10,10,11,1461.93,246.16,146.19,24.62,15.51,1,10.0
SC,correia pinto,11,8,12,1454.23,225.95,132.2,20.54,16.83,1,9.09
MG,paraguacu,12,12,18,1452.85,373.44,121.07,31.12,14.56,0,0.0
BA,ibitita,1,1,1,1450.0,84.58,1450.0,84.58,16.78,0,0.0
SC,lauro muller,8,8,8,1449.57,146.03,181.2,18.25,17.83,2,25.0
RN,currais novos,7,7,8,1448.19,272.15,206.88,38.88,43.46,2,28.57
MA,sao jose de ribamar,14,14,14,1444.82,426.05,103.2,30.43,28.53,2,14.29
RS,flores da cunha,12,12,14,1439.45,293.12,119.95,24.43,9.84,0,0.0
MS,fatima do sul,4,4,4,1436.29,100.57,359.07,25.14,13.62,0,0.0
ES,marilandia,8,8,8,1436.07,157.15,179.51,19.64,15.74,0,0.0
SP,altinopolis,4,4,4,1428.8,77.24,357.2,19.31,10.29,0,0.0
SC,balneario picarras,8,8,9,1426.81,193.01,178.35,24.13,17.05,1,12.5
PA,redencao,12,12,13,1423.25,395.23,118.6,32.94,27.33,3,25.0
PB,queimadas,5,5,5,1422.9,248.04,284.58,49.61,18.39,0,0.0
MT,itauba,5,5,5,1420.98,240.99,284.2,48.2,17.13,1,20.0
RS,torres,17,16,21,1416.23,417.09,83.31,24.53,13.98,1,5.88
RJ,carmo,12,12,14,1415.19,327.67,117.93,27.31,19.71,3,25.0
BA,camamu,8,7,8,1411.82,370.78,176.48,46.35,19.72,0,0.0
SP,jarinu,18,17,20,1410.48,301.58,78.36,16.75,10.21,0,0.0
MG,nova ponte,9,9,10,1409.49,229.05,156.61,25.45,12.86,1,11.11
MG,baependi,8,8,10,1409.04,178.35,176.13,22.29,12.59,0,0.0
SC,orleans,8,8,8,1408.59,209.08,176.07,26.13,10.2,0,0.0
ES,sao gabriel da palha,13,13,13,1406.8,325.84,108.22,25.06,15.38,1,7.69
SP,tanabi,11,11,12,1404.39,253.75,127.67,23.07,11.3,0,0.0
MG,ipaba,8,8,9,1403.5,181.76,175.44,22.72,14.71,0,0.0
PB,santa rita,6,5,6,1401.75,250.73,233.63,41.79,17.38,0,0.0
RS,arroio do meio,9,8,10,1400.22,207.86,155.58,23.1,12.55,0,0.0
RJ,boa esperanca,1,1,1,1399.99,127.52,1399.99,127.52,41.27,1,100.0
SP,bastos,17,15,18,1399.6,274.34,82.33,16.14,9.22,0,0.0
ES,baixo guandu,8,8,11,1399.1,218.07,174.89,27.26,12.74,0,0.0
RS,campinas do sul,6,6,6,1398.89,132.35,233.15,22.06,10.96,0,0.0
BA,formosa do rio preto,3,3,7,1398.13,230.03,466.04,76.68,32.46,1,33.33
MG,mutum,8,8,9,1397.94,191.93,174.74,23.99,11.98,0,0.0
MS,paranaiba,14,13,15,1396.24,305.07,99.73,21.79,12.16,0,0.0
SP,bocaina,6,5,6,1391.9,128.72,231.98,21.45,8.09,0,0.0
MG,bonfinopolis de minas,2,2,2,1387.2,46.55,693.6,23.27,14.6,0,0.0
PA,sao felix do xingu,8,8,9,1382.7,391.38,172.84,48.92,34.27,2,25.0
SP,biritiba-mirim,10,10,12,1381.72,198.05,138.17,19.8,5.87,0,0.0
RN,joao camara,2,2,2,1379.8,87.01,689.9,43.51,20.05,0,0.0
RS,bom retiro do sul,2,2,2,1379.0,105.21,689.5,52.6,19.61,0,0.0
SC,guaramirim,13,13,14,1377.08,359.18,105.93,27.63,12.28,0,0.0
CE,santana do acarau,4,4,4,1376.89,186.69,344.22,46.67,17.68,0,0.0
GO,senador canedo,16,16,18,1375.57,414.72,85.97,25.92,16.78,2,12.5
MG,jequitinhonha,11,9,11,1372.37,223.49,124.76,20.32,11.76,0,0.0
SP,divinolandia,7,7,7,1370.68,112.22,195.81,16.03,12.08,1,14.29
ES,vila valerio,8,7,10,1369.4,262.89,171.18,32.86,20.65,1,12.5
GO,alto paraiso de goias,9,9,27,1367.34,595.97,151.93,66.22,16.7,1,11.11
MG,ibia,8,8,11,1367.29,368.89,170.91,46.11,15.23,0,0.0
SP,itabera,7,7,8,1366.14,156.84,195.16,22.41,12.05,0,0.0
CE,acarau,8,6,9,1364.96,274.98,170.62,34.37,34.23,5,62.5
MG,itapecerica,13,12,13,1363.28,240.4,104.87,18.49,9.54,0,0.0
MG,aracuai,9,9,9,1362.98,225.8,151.44,25.09,13.18,1,11.11
MG,corinto,11,10,11,1362.86,182.77,123.9,16.62,9.75,0,0.0
SP,pitangueiras,16,16,17,1362.62,272.02,85.16,17.0,10.2,0,0.0
SP,iguape,14,14,14,1359.57,255.63,97.11,18.26,11.23,0,0.0
MG,malacacheta,7,7,12,1355.65,346.56,193.66,49.51,14.53,0,0.0
RS,campestre da serra,2,2,2,1348.99,41.07,674.5,20.54,15.98,0,0.0
PE,afogados da ingazeira,8,8,8,1345.98,250.41,168.25,31.3,11.57,0,0.0
PI,altos,5,5,5,1345.39,215.48,269.08,43.1,19.23,0,0.0
RN,upanema,3,3,5,1343.6,132.65,447.87,44.22,19.84,0,0.0
MG,aguas formosas,5,5,6,1341.7,238.87,268.34,47.77,10.87,0,0.0
PB,pirpirituba,1,1,1,1340.0,32.25,1340.0,32.25,19.43,0,0.0
RS,girua,10,9,11,1335.28,225.69,133.53,22.57,18.47,1,10.0
MA,sao joao dos patos,7,7,7,1333.08,282.39,190.44,40.34,23.64,1,14.29
MG,tupaciguara,13,13,16,1331.21,314.15,102.4,24.17,10.7,0,0.0
PE,sao bento do una,4,4,4,1328.39,149.41,332.1,37.35,21.67,0,0.0
RS,casca,7,7,7,1326.27,302.67,189.47,43.24,14.32,0,0.0
SP,tabapua,12,12,13,1322.96,212.25,110.25,17.69,9.32,0,0.0
GO,sao miguel do araguaia,5,5,7,1321.15,196.88,264.23,39.38,12.03,0,0.0
SC,apiuna,7,6,7,1320.6,164.2,188.66,23.46,11.55,0,0.0
SP,pirapozinho,14,13,15,1319.37,263.1,94.24,18.79,9.34,0,0.0
MG,conceicao do mato dentro,12,12,15,1317.91,288.43,109.83,24.04,12.05,0,0.0
PI,guadalupe,4,4,5,1313.7,189.06,328.43,47.27,12.98,0,0.0
SC,itaiopolis,8,8,11,1313.59,241.83,164.2,30.23,19.4,1,12.5
SP,sao miguel arcanjo,13,12,13,1311.09,232.69,100.85,17.9,8.92,0,0.0
MS,caarapo,4,4,4,1310.49,137.44,327.62,34.36,12.44,0,0.0
RS,cangucu,12,11,13,1310.18,235.51,109.18,19.63,18.21,0,0.0
PI,fronteiras,3,3,3,1308.8,100.04,436.27,33.35,19.32,0,0.0
MG,dores de campos,8,8,8,1308.14,156.05,163.52,19.51,13.28,0,0.0
SP,itapui,7,7,7,1307.09,123.8,186.73,17.69,12.61,1,14.29
BA,itamaraju,11,11,11,1304.23,376.97,118.57,34.27,16.8,1,9.09
PR,ibipora,12,12,15,1303.38,287.46,108.62,23.95,10.07,0,0.0
CE,barbalha,6,6,6,1302.98,212.43,217.16,35.41,28.49,2,33.33
PE,barreiros,5,5,5,1302.16,211.93,260.43,42.39,14.91,0,0.0
SP,pinhalzinho,12,12,16,1300.42,237.54,108.37,19.79,11.97,0,0.0
MG,barra longa,1,1,1,1300.0,41.55,1300.0,41.55,11.13,0,0.0
SP,barao ataliba nogueira,1,1,1,1300.0,51.51,1300.0,51.51,14.2,0,0.0
BA,tapiramuta,2,2,2,1298.99,177.91,649.5,88.95,28.41,0,0.0
SP,sao simao,10,9,10,1297.89,141.4,129.79,14.14,13.68,0,0.0
GO,neropolis,7,7,10,1297.22,166.8,185.32,23.83,13.3,0,0.0
MG,simonesia,8,7,8,1295.88,253.99,161.99,31.75,10.91,0,0.0
CE,morada nova,9,9,9,1295.28,276.32,143.92,30.7,18.39,0,0.0
MG,astolfo dutra,11,8,14,1294.52,215.17,117.68,19.56,9.83,1,9.09
MG,barroso,11,11,15,1289.96,285.56,117.27,25.96,11.65,1,9.09
BA,alcobaca,4,4,4,1289.78,192.12,322.44,48.03,18.43,1,25.0
PR,jacarezinho,16,15,16,1289.36,327.81,80.58,20.49,11.0,0,0.0
PA,xinguara,9,9,10,1282.22,326.29,142.47,36.25,32.66,2,22.22
PE,bezerros,10,10,11,1277.39,373.84,127.74,37.38,13.95,0,0.0
SP,mirandopolis,13,12,15,1274.99,260.42,98.08,20.03,10.33,0,0.0
RS,tres passos,11,11,12,1270.21,233.51,115.47,21.23,18.31,1,9.09
SP,agudos,16,16,17,1265.3,243.65,79.08,15.23,11.73,1,6.25
PR,realeza,6,6,8,1264.26,148.5,210.71,24.75,9.42,0,0.0
CE,pacajus,6,6,7,1262.59,257.41,210.43,42.9,27.78,2,33.33
SP,casa branca,13,13,13,1261.58,231.3,97.04,17.79,10.17,0,0.0
SC,gravatal,6,6,6,1260.27,158.01,210.04,26.33,8.22,0,0.0
SP,cordeiropolis,15,15,20,1260.05,337.04,84.0,22.47,9.35,0,0.0
SP,teodoro sampaio,12,12,12,1259.77,214.14,104.98,17.85,10.84,0,0.0
SP,itariri,6,6,7,1259.32,119.41,209.89,19.9,15.82,1,16.67
SP,balsamo,6,5,9,1257.23,126.25,209.54,21.04,8.34,0,0.0
SP,duartina,10,9,12,1252.67,200.63,125.27,20.06,7.34,0,0.0
SP,aluminio,13,13,14,1252.15,248.49,96.32,19.11,13.18,2,15.38
SP,iracemapolis,18,17,20,1251.88,280.62,69.55,15.59,9.96,1,5.56
MG,areado,6,6,6,1246.69,113.86,207.78,18.98,12.24,0,0.0
GO,campinorte,7,7,8,1244.69,155.92,177.81,22.27,15.79,0,0.0
RO,pimenta bueno,7,7,7,1243.79,378.48,177.68,54.07,21.6,0,0.0
BA,vera cruz,7,7,7,1243.52,151.3,177.65,21.61,44.14,4,57.14
RJ,italva,12,11,13,1243.09,237.52,103.59,19.79,11.99,1,8.33
PA,sao miguel do guama,5,5,5,1240.79,273.61,248.16,54.72,22.36,0,0.0
RJ,mendes,12,12,14,1240.75,269.24,103.4,22.44,8.51,0,0.0
MG,botelhos,8,8,9,1240.01,216.46,155.0,27.06,12.15,0,0.0
AL,penedo,8,8,8,1239.87,352.8,154.98,44.1,20.26,1,12.5
PB,guarabira,10,10,11,1239.68,403.18,123.97,40.32,24.69,2,20.0
PE,bonito,5,5,5,1235.79,163.05,247.16,32.61,26.17,2,40.0
SP,ouroeste,11,11,13,1235.19,202.38,112.29,18.4,12.87,1,9.09
RS,ivoti,13,13,13,1235.11,272.32,95.01,20.95,13.17,0,0.0
RN,parelhas,4,4,4,1233.89,262.91,308.47,65.73,14.35,0,0.0
SP,dois corregos,11,11,12,1233.69,168.9,112.15,15.35,8.47,0,0.0
SP,descalvado,13,13,14,1231.74,207.83,94.75,15.99,9.09,0,0.0
MG,buenopolis,4,4,5,1231.38,232.84,307.85,58.21,16.52,0,0.0
PE,saloa,3,3,4,1231.0,305.08,410.33,101.69,15.44,0,0.0
RS,nova prata,16,15,17,1230.94,310.31,76.93,19.39,10.86,0,0.0
PE,venturosa,2,2,2,1228.9,68.16,614.45,34.08,29.43,1,50.0
SP,ipaussu,7,7,9,1228.72,180.54,175.53,25.79,9.2,0,0.0
MA,santa ines,12,12,15,1226.88,730.03,102.24,60.84,22.64,4,33.33
PA,marituba,14,13,14,1224.29,438.78,87.45,31.34,25.6,2,14.29
AL,coruripe,3,3,3,1222.3,136.79,407.43,45.6,21.68,0,0.0
SP,guararapes,18,17,21,1220.84,346.06,67.82,19.23,11.7,0,0.0
SC,capinzal,10,10,12,1220.55,248.68,122.05,24.87,14.82,1,10.0
PR,primeiro de maio,7,6,7,1216.67,190.94,173.81,27.28,15.6,0,0.0
RS,espumoso,7,7,9,1210.71,269.75,172.96,38.54,20.58,2,28.57
GO,silvania,7,7,7,1208.79,164.36,172.68,23.48,16.53,1,14.29
MG,divino,13,13,14,1208.59,257.57,92.97,19.81,11.53,0,0.0
PE,palmares,8,8,8,1206.82,280.21,150.85,35.03,15.19,0,0.0
AP,santana,9,9,14,1202.64,341.3,133.63,37.92,22.85,1,11.11
MG,sao goncalo do sapucai,8,8,8,1202.5,139.84,150.31,17.48,12.23,0,0.0
BA,coaraci,4,4,4,1201.88,266.24,300.47,66.56,23.46,1,25.0
PR,assis chateaubriand,12,12,14,1200.31,225.99,100.03,18.83,10.03,1,8.33
RO,alto paraiso,1,1,1,1200.0,60.76,1200.0,60.76,27.12,0,0.0
MT,bom jesus do araguaia,1,1,1,1199.9,47.39,1199.9,47.39,27.82,0,0.0
PB,passagem,1,1,1,1199.0,66.83,1199.0,66.83,23.89,0,0.0
GO,sao luis de montes belos,7,7,9,1196.37,216.59,170.91,30.94,20.47,2,28.57
BA,riacho de santana,4,4,5,1194.7,107.77,298.68,26.94,20.41,1,25.0
SP,santa gertrudes,11,11,13,1194.21,276.84,108.56,25.17,12.24,1,9.09
ES,jaguare,13,13,14,1193.95,319.15,91.84,24.55,13.3,0,0.0
MG,sao francisco,12,12,13,1193.62,238.08,99.47,19.84,12.47,1,8.33
MG,rio pomba,6,6,7,1192.86,272.0,198.81,45.33,17.31,1,16.67
RJ,sao jose do vale do rio preto,12,12,13,1192.21,335.45,99.35,27.95,13.88,1,8.33
PE,sao lourenco da mata,11,11,12,1190.96,393.45,108.27,35.77,22.08,2,18.18
AM,coari,1,1,1,1190.65,68.39,1190.65,68.39,21.96,0,0.0
SP,guararema,11,11,11,1189.56,180.85,108.14,16.44,9.35,0,0.0
ES,domingos martins,9,8,9,1188.3,165.33,132.03,18.37,16.25,1,11.11
CE,ubajara,3,3,8,1178.9,235.73,392.97,78.58,23.8,1,33.33
SP,parapua,8,6,9,1178.4,167.43,147.3,20.93,8.35,0,0.0
SC,sombrio,10,9,12,1175.92,261.2,117.59,26.12,19.35,3,30.0
RS,igrejinha,17,17,20,1173.03,408.61,69.0,24.04,14.18,1,5.88
SC,schroeder,9,9,9,1168.69,180.53,129.85,20.06,14.54,0,0.0
RS,tapejara,9,9,9,1165.13,199.36,129.46,22.15,14.61,0,0.0
MA,cedral,3,3,3,1164.9,251.62,388.3,83.87,20.05,0,0.0
SP,saltinho,5,4,7,1164.79,151.56,232.96,30.31,7.21,0,0.0
MG,perdizes,8,8,10,1163.31,219.19,145.41,27.4,33.33,1,12.5
PB,brejo do cruz,1,1,1,1160.0,57.78,1160.0,57.78,20.01,0,0.0
CE,limoeiro do norte,11,10,12,1156.67,335.88,105.15,30.53,19.14,1,9.09
TO,guarai,4,4,6,1156.6,302.77,289.15,75.69,15.16,0,0.0
CE,jaguaruana,4,4,4,1155.15,184.15,288.79,46.04,21.54,0,0.0
RS,itaqui,9,9,17,1154.38,367.94,128.26,40.88,16.14,1,11.11
RJ,areal,7,7,8,1152.18,212.45,164.6,30.35,8.59,0,0.0
SP,sao lourenco da serra,12,12,15,1151.95,205.08,96.0,17.09,7.05,0,0.0
SP,urupes,10,10,12,1150.14,163.13,115.01,16.31,8.37,0,0.0
SP,salesopolis,10,10,12,1146.52,164.44,114.65,16.44,10.54,1,10.0
MG,arapora,5,5,6,1144.38,108.99,228.88,21.8,11.43,0,0.0
PA,conceicao do araguaia,7,7,7,1143.89,350.71,163.41,50.1,21.67,1,14.29
SC,forquilhinha,13,12,17,1143.85,324.33,87.99,24.95,16.21,2,15.38
MG,carandai,11,11,13,1143.5,242.94,103.95,22.09,12.67,0,0.0
GO,uruana,3,3,4,1142.29,213.66,380.76,71.22,12.07,0,0.0
PR,santo antonio da platina,12,11,14,1140.61,404.23,95.05,33.69,12.74,0,0.0
RS,terra de areia,5,5,5,1137.29,113.64,227.46,22.73,11.94,0,0.0
SC,celso ramos,2,2,13,1136.79,304.15,568.39,152.07,20.13,0,0.0
BA,catu de abrantes,2,2,3,1135.99,159.87,568.0,79.94,28.86,1,50.0
BA,camacan,6,6,7,1134.67,134.73,189.11,22.46,20.9,1,16.67
CE,jijoca de jericoacoara,4,4,4,1130.9,131.32,282.73,32.83,15.27,0,0.0
SP,santo antonio do pinhal,2,2,2,1128.9,123.79,564.45,61.89,7.96,0,0.0
MA,colinas,3,3,4,1128.87,134.53,376.29,44.84,27.11,1,33.33
RJ,papucaia,10,10,11,1126.77,308.93,112.68,30.89,12.79,1,10.0
BA,casa nova,6,5,6,1126.19,143.35,187.7,23.89,17.64,0,0.0
AL,delmiro gouveia,4,4,6,1125.8,227.91,281.45,56.98,20.8,0,0.0
MT,aripuana,8,8,8,1124.78,223.6,140.6,27.95,27.77,2,25.0
MA,timon,11,11,12,1123.72,291.75,102.16,26.52,22.4,2,18.18
SP,charqueada,10,10,10,1122.67,168.21,112.27,16.82,15.38,1,10.0
SC,rio negrinho,13,13,14,1121.19,260.54,86.25,20.04,12.7,1,7.69
CE,itapipoca,10,10,11,1121.08,361.83,112.11,36.18,26.27,1,10.0
SC,sao joaquim,9,9,11,1118.98,191.41,124.33,21.27,15.0,0,0.0
BA,inhambupe,7,7,7,1117.78,229.2,159.68,32.74,31.94,2,28.57
ES,santa teresa,10,9,11,1117.36,196.29,111.74,19.63,19.3,4,40.0
RJ,goitacazes,11,11,11,1116.34,271.9,101.49,24.72,14.39,2,18.18
MG,raul soares,12,11,14,1115.51,242.26,92.96,20.19,17.63,1,8.33
RS,santo augusto,8,7,9,1115.08,204.2,139.38,25.52,15.96,1,12.5
SP,maracai,8,8,11,1114.58,231.03,139.32,28.88,8.3,0,0.0
RS,butia,6,6,6,1112.69,165.23,185.45,27.54,14.8,0,0.0
MG,monte belo,5,5,8,1109.78,230.52,221.96,46.1,12.52,0,0.0
GO,chapadao do ceu,8,7,9,1108.57,234.68,138.57,29.34,14.09,0,0.0
RS,nova roma do sul,1,1,1,1106.99,20.3,1106.99,20.3,9.39,0,0.0
SC,herval d'oeste,9,9,14,1106.74,280.19,122.97,31.13,13.22,0,0.0
CE,redencao,4,3,4,1104.68,192.98,276.17,48.25,25.31,1,25.0
MT,canarana,10,10,11,1103.73,252.58,110.37,25.26,23.26,2,20.0
BA,entre rios,6,6,6,1103.4,138.12,183.9,23.02,12.89,0,0.0
RN,caicara do norte,1,1,1,1099.0,58.41,1099.0,58.41,22.34,0,0.0
SP,santo antonio do aracangua,1,1,1,1099.0,18.99,1099.0,18.99,8.18,0,0.0
SP,guarei,5,5,5,1098.29,89.15,219.66,17.83,9.03,0,0.0
ES,boa esperanca,7,6,7,1097.58,215.37,156.8,30.77,12.61,0,0.0
SP,pontal,12,12,14,1097.38,235.67,91.45,19.64,9.36,0,0.0
AL,palmeira dos indios,8,8,8,1094.41,369.05,136.8,46.13,23.46,1,12.5
MG,turmalina,8,8,9,1093.69,220.65,136.71,27.58,11.23,0,0.0
CE,reriutaba,3,3,3,1093.32,238.31,364.44,79.44,28.93,1,33.33
BA,candeias,12,11,12,1091.18,335.18,90.93,27.93,18.78,1,8.33
BA,prado,5,5,5,1090.79,143.8,218.16,28.76,10.92,0,0.0
GO,goianapolis,4,4,4,1086.98,137.06,271.75,34.27,12.7,0,0.0
MG,sao jose da lapa,8,8,8,1086.58,150.94,135.82,18.87,12.8,0,0.0
MT,alto araguaia,5,5,5,1085.73,142.4,217.15,28.48,24.73,1,20.0
PR,pontal do parana,8,8,8,1084.26,150.79,135.53,18.85,12.75,0,0.0
GO,goias,8,8,8,1084.21,152.52,135.53,19.07,14.52,0,0.0
PA,barcarena,6,6,6,1084.17,239.5,180.7,39.92,25.92,1,16.67
PA,braganca,9,9,10,1083.96,353.31,120.44,39.26,20.23,0,0.0
BA,mata de sao joao,11,10,12,1083.55,260.63,98.5,23.69,20.93,1,9.09
PR,sao miguel do iguacu,9,9,9,1079.3,164.84,119.92,18.32,13.44,1,11.11
MG,ervalia,7,7,7,1076.83,153.62,153.83,21.95,11.1,0,0.0
SP,brotas,12,12,13,1073.08,196.8,89.42,16.4,9.95,0,0.0
PE,toritama,5,5,5,1072.79,205.2,214.56,41.04,17.87,0,0.0
RS,capao do leao,4,4,5,1072.25,182.41,268.06,45.6,27.56,2,50.0
PE,araripina,11,11,14,1070.58,467.47,97.33,42.5,19.81,0,0.0
GO,acreuna,7,7,9,1070.43,236.02,152.92,33.72,15.68,0,0.0
MT,confresa,7,7,7,1065.65,305.97,152.24,43.71,18.01,0,0.0
SP,conchas,8,7,8,1064.45,164.77,133.06,20.6,9.6,1,12.5
MG,sao joao evangelista,6,6,6,1062.76,112.14,177.13,18.69,16.96,1,16.67
PR,campina grande do sul,9,9,10,1062.57,214.18,118.06,23.8,12.19,0,0.0
RJ,sumidouro,10,9,10,1060.68,265.29,106.07,26.53,18.9,3,30.0
RN,caraubas,3,3,3,1059.29,187.47,353.1,62.49,14.39,0,0.0
SP,patrocinio paulista,2,2,2,1059.2,88.26,529.6,44.13,17.77,0,0.0
PR,ibaiti,11,9,11,1057.36,206.78,96.12,18.8,11.1,0,0.0
MG,pompeu,11,11,13,1055.18,266.49,95.93,24.23,12.64,1,9.09
SP,pirangi,7,7,7,1055.09,134.04,150.73,19.15,10.75,0,0.0
RS,frederico westphalen,14,14,15,1053.45,266.44,75.25,19.03,16.98,1,7.14
MG,catas altas,5,5,5,1052.85,107.5,210.57,21.5,14.06,0,0.0
AL,santana do mundau,3,3,4,1052.8,215.21,350.93,71.74,12.57,0,0.0
BA,buerarema,3,3,3,1051.8,65.01,350.6,21.67,32.27,2,66.67
PR,itapejara d'oeste,6,6,7,1049.9,206.02,174.98,34.34,16.01,0,0.0
PR,nova prata do iguacu,6,6,7,1049.78,135.41,174.96,22.57,18.39,1,16.67
SP,engenheiro coelho,12,12,12,1049.48,136.99,87.46,11.42,10.23,1,8.33
PR,godoy moreira,1,1,1,1049.0,52.83,1049.0,52.83,12.88,0,0.0
RJ,santa maria madalena,7,7,7,1046.09,201.36,149.44,28.77,14.33,1,14.29
MG,prata,10,10,10,1044.58,225.78,104.46,22.58,11.48,0,0.0
MS,costa rica,12,11,14,1043.66,230.24,86.97,19.19,18.57,3,25.0
PI,valenca do piaui,4,4,4,1043.0,204.87,260.75,51.22,13.71,0,0.0
PB,sousa,7,7,8,1042.59,313.84,148.94,44.83,16.21,0,0.0
MG,capinopolis,11,11,12,1042.18,235.77,94.74,21.43,10.81,0,0.0
SP,pedregulho,2,2,6,1039.4,82.78,519.7,41.39,15.53,0,0.0
PB,alhandra,2,2,2,1037.0,270.91,518.5,135.46,24.07,0,0.0
CE,cascavel,5,5,7,1035.66,219.09,207.13,43.82,16.56,0,0.0
RS,arroio dos ratos,9,8,9,1034.18,192.34,114.91,21.37,8.8,0,0.0
GO,rubiataba,7,7,10,1034.09,176.6,147.73,25.23,12.1,0,0.0
SP,aguas da prata,10,10,12,1028.28,229.29,102.83,22.93,7.36,0,0.0
SP,rio das pedras,10,10,11,1027.64,177.92,102.76,17.79,10.33,1,10.0
SC,ibirama,13,13,17,1026.5,402.7,78.96,30.98,13.75,0,0.0
RS,jaguarao,8,8,10,1025.29,216.72,128.16,27.09,14.82,0,0.0
SP,sao sebastiao da grama,4,4,4,1024.79,77.23,256.2,19.31,16.07,1,25.0
ES,pinheiros,8,8,8,1024.32,158.19,128.04,19.77,9.26,0,0.0
SP,buritama,9,9,12,1024.24,210.18,113.8,23.35,15.89,2,22.22
PR,colorado,6,6,7,1022.78,123.07,170.46,20.51,10.62,0,0.0
SP,cajobi,8,8,9,1018.43,144.46,127.3,18.06,6.73,0,0.0
PE,lagoa grande,4,3,4,1018.36,158.83,254.59,39.71,19.11,1,25.0
RJ,japuiba,5,4,8,1017.58,213.27,203.52,42.65,17.81,1,20.0
SP,oriente,3,3,4,1017.27,57.75,339.09,19.25,7.89,0,0.0
RS,garibaldi,9,9,10,1014.8,201.45,112.76,22.38,10.62,0,0.0
MG,mar de espanha,9,9,10,1014.72,176.85,112.75,19.65,10.99,0,0.0
PA,picarra,1,1,4,1014.6,108.26,1014.6,108.26,12.81,0,0.0
RS,xangri-la,8,7,9,1013.58,179.29,126.7,22.41,18.07,1,12.5
GO,itaberai,6,6,6,1012.08,139.0,168.68,23.17,14.1,0,0.0
MG,raposos,11,11,17,1009.52,287.79,91.77,26.16,9.41,0,0.0
MG,cristina,7,7,8,1009.42,159.32,144.2,22.76,18.03,1,14.29
RS,bom principio,6,6,6,1003.11,137.64,167.19,22.94,15.86,1,16.67
GO,serranopolis,3,3,3,1002.88,207.39,334.29,69.13,16.8,0,0.0
MA,pedreiras,3,3,4,1002.69,139.07,334.23,46.36,14.54,0,0.0
SP,pilar do sul,12,12,14,1002.36,222.96,83.53,18.58,9.79,1,8.33
RN,macau,5,5,5,998.88,298.81,199.78,59.76,21.47,0,0.0
BA,conceicao do coite,9,9,10,997.89,309.15,110.88,34.35,19.13,1,11.11
SP,taruma,9,9,10,997.72,192.23,110.86,21.36,9.68,0,0.0
SP,primavera,9,9,10,996.78,169.23,110.75,18.8,16.46,1,11.11
PI,campo maior,7,7,8,993.66,321.05,141.95,45.86,17.64,1,14.29
PR,ortigueira,8,8,8,993.29,146.16,124.16,18.27,9.26,0,0.0
SC,araquari,11,11,14,993.25,292.11,90.3,26.56,16.22,2,18.18
MS,bonito,8,8,8,991.47,159.5,123.93,19.94,17.39,1,12.5
BA,itaberaba,9,9,9,989.26,179.89,109.92,19.99,17.65,1,11.11
MG,sarzedo,18,18,19,987.93,328.4,54.89,18.24,9.89,1,5.56
MG,sao jose da barra,6,6,7,987.14,170.97,164.52,28.5,10.76,0,0.0
PE,tabira,5,5,5,986.88,192.01,197.38,38.4,21.99,1,20.0
GO,cacu,8,8,10,982.68,180.85,122.84,22.61,17.68,0,0.0
BA,seabra,6,6,7,982.5,165.76,163.75,27.63,17.41,0,0.0
SP,tarabai,5,5,5,982.35,192.05,196.47,38.41,12.91,0,0.0
SP,luis antonio,7,7,9,980.08,151.35,140.01,21.62,9.08,0,0.0
AL,inhapi,2,2,2,979.9,95.2,489.95,47.6,24.88,1,50.0
BA,santo estevao,5,5,6,979.81,246.88,195.96,49.38,14.81,0,0.0
RJ,mangaratiba,12,12,14,974.84,249.58,81.24,20.8,19.49,3,25.0
SP,cosmorama,6,6,8,973.98,117.57,162.33,19.59,9.63,0,0.0
MG,eugenopolis,5,5,5,973.87,97.52,194.77,19.5,13.39,0,0.0
MS,rio brilhante,11,11,11,972.28,222.88,88.39,20.26,13.37,1,9.09
SP,salto de pirapora,12,12,13,970.59,182.97,80.88,15.25,12.84,1,8.33
ES,sao jose do calcado,6,6,7,970.18,157.08,161.7,26.18,13.53,0,0.0
PE,lagoa dos gatos,3,3,3,969.99,103.48,323.33,34.49,11.15,0,0.0
PB,mamanguape,6,6,10,969.75,436.72,161.63,72.79,25.45,1,16.67
PR,arapoti,9,9,10,966.97,313.94,107.44,34.88,12.88,0,0.0
MG,fervedouro,8,8,10,965.76,162.85,120.72,20.36,12.05,0,0.0
MT,sapezal,8,8,8,964.82,174.7,120.6,21.84,16.64,0,0.0
SP,estiva gerbi,7,5,7,964.26,126.72,137.75,18.1,8.38,0,0.0
